"","date","soe","total_arrivals"
"634",2023-10-01,"Melaka",3539
"635",2023-10-01,"Negeri Sembilan",5098
"636",2023-10-01,"Pahang",972
"637",2023-10-01,"Perak",18819
"638",2023-10-01,"Perlis",60062
"639",2023-10-01,"Pulau Pinang",86296
"640",2023-10-01,"Sabah",7936
"641",2023-10-01,"Sarawak",106667
"642",2023-10-01,"Selangor",643447
"643",2023-10-01,"Terengganu",4
"644",2023-10-01,"W.P. Labuan",1328
"645",2023-11-01,"Johor",1558439
"646",2023-11-01,"Kedah",90711
"647",2023-11-01,"Kelantan",40481
"648",2023-11-01,"Melaka",3716
"649",2023-11-01,"Negeri Sembilan",5535
"650",2023-11-01,"Pahang",761
"651",2023-11-01,"Perak",19230
"652",2023-11-01,"Perlis",55721
"653",2023-11-01,"Pulau Pinang",94156
"654",2023-11-01,"Sabah",30563
"655",2023-11-01,"Sarawak",113059
"656",2023-11-01,"Selangor",649129
"657",2023-11-01,"Terengganu",17
"658",2023-11-01,"W.P. Labuan",1651
"659",2023-12-01,"Johor",1753136
"660",2023-12-01,"Kedah",106836
"661",2023-12-01,"Kelantan",42337
"662",2023-12-01,"Melaka",5419
"663",2023-12-01,"Negeri Sembilan",5127
"664",2023-12-01,"Pahang",1284
"665",2023-12-01,"Perak",22667
"666",2023-12-01,"Perlis",53904
"667",2023-12-01,"Pulau Pinang",107555
"668",2023-12-01,"Sabah",52232
"669",2023-12-01,"Sarawak",230361
"670",2023-12-01,"Selangor",792830
"671",2023-12-01,"Terengganu",1
"672",2023-12-01,"W.P. Labuan",3817
"673",2024-01-01,"Johor",1155378
"674",2024-01-01,"Kedah",110507
"675",2024-01-01,"Kelantan",53671
"676",2024-01-01,"Melaka",3497
"677",2024-01-01,"Negeri Sembilan",4844
"678",2024-01-01,"Pahang",556
"679",2024-01-01,"Perak",16969
"680",2024-01-01,"Perlis",58898
"681",2024-01-01,"Pulau Pinang",98132
"682",2024-01-01,"Sabah",67279
"683",2024-01-01,"Sarawak",176310
"684",2024-01-01,"Selangor",825945
"685",2024-01-01,"Terengganu",15
"686",2024-01-01,"W.P. Labuan",1412
"687",2024-02-01,"Johor",1389651
"688",2024-02-01,"Kedah",104399
"689",2024-02-01,"Kelantan",56124
"690",2024-02-01,"Melaka",3291
"691",2024-02-01,"Negeri Sembilan",4411
"692",2024-02-01,"Pahang",714
"693",2024-02-01,"Perak",19533
"694",2024-02-01,"Perlis",58854
"695",2024-02-01,"Pulau Pinang",88273
"696",2024-02-01,"Sabah",68963
"697",2024-02-01,"Sarawak",190621
"698",2024-02-01,"Selangor",804850
